id,alt,year,title,rating,original_title,directors,casts,genres,image
1291545,https://movie.douban.com/subject/1291545/,2003,大鱼,8.7,Big Fish,蒂姆·波顿,"伊万·麦克格雷格,阿尔伯特·芬尼,比利·克鲁德普","剧情,家庭,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p692813374.jpg
1291546,https://movie.douban.com/subject/1291546/,1993,霸王别姬,9.5,霸王别姬,陈凯歌,"张国荣,张丰毅,巩俐","剧情,爱情,同性",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910813120.jpg
1291548,https://movie.douban.com/subject/1291548/,1989,死亡诗社,8.9,Dead Poets Society,彼得·威尔,"罗宾·威廉姆斯,罗伯特·肖恩·莱纳德,伊桑·霍克",剧情,https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910824340.jpg
1291549,https://movie.douban.com/subject/1291549/,2004,放牛班的春天,9.2,Les choristes,克里斯托夫·巴拉蒂,"热拉尔·朱尼奥,让-巴蒂斯特·莫尼耶,弗朗索瓦·贝莱昂","剧情,音乐",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910824951.jpg
1291552,https://movie.douban.com/subject/1291552/,2003,指环王3：王者无敌,9.1,The Lord of the Rings: The Return of the King,彼得·杰克逊,"维果·莫腾森,伊利亚·伍德,西恩·奥斯汀","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910825503.jpg
1291557,https://movie.douban.com/subject/1291557/,2000,花样年华,8.5,花樣年華,王家卫,"梁朝伟,张曼玉,潘迪华","剧情,爱情",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910828286.jpg
1291560,https://movie.douban.com/subject/1291560/,1988,龙猫,9.1,となりのトトロ,宫崎骏,"日高法子,坂本千夏,岛本须美","动画,奇幻",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1910829638.jpg
1291561,https://movie.douban.com/subject/1291561/,2001,千与千寻,9.2,千と千尋の神隠し,宫崎骏,"柊瑠美,入野自由,夏木真理","剧情,动画,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910830216.jpg
1291568,https://movie.douban.com/subject/1291568/,1953,东京物语,9.2,東京物語,小津安二郎,"笠智众,原节子,杉村春子","剧情,家庭",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1910832390.jpg
1291571,https://movie.douban.com/subject/1291571/,2001,指环王1：魔戒再现,8.9,The Lord of the Rings: The Fellowship of the Ring,彼得·杰克逊,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p1354436051.jpg
1291572,https://movie.douban.com/subject/1291572/,2002,指环王2：双塔奇兵,8.9,The Lord of the Rings: The Two Towers,彼得·杰克逊,"伊利亚·伍德,西恩·奥斯汀,伊恩·麦克莱恩","剧情,动作,奇幻",https://img3.doubanio.com/view/movie_poster_cover/spst/public/p909265336.jpg
1291578,https://movie.douban.com/subject/1291578/,2002,冰川时代,8.4,Ice Age,"卡洛斯·萨尔达尼亚,克里斯·韦奇","雷·罗马诺,约翰·雷吉扎莫,丹尼斯·利瑞","喜剧,动画,冒险",https://img1.doubanio.com/view/movie_poster_cover/spst/public/p1910895719.jpg
